Prev_MathAnx_score,Prev_hcp_h456e2_math,Prev_hcp_h456e2_word,points,easy_math_cnt,easy_word_cnt,easy_acc_math,easy_acc_word,easy_RT_math,easy_RT_word,hard_math_cnt,hard_word_cnt,hard_level_math,hard_level_word,hard_acc_math,hard_acc_word,hard_RT_math,hard_RT_word,hcp_h2e2_math,hcp_h3e2_math,hcp_h4e2_math,hcp_h5e2_math,hcp_h6e2_math,hcp_h456e2_math,hcp_h2e2_word,hcp_h3e2_word,hcp_h4e2_word,hcp_h5e2_word,hcp_h6e2_word,hcp_h456e2_word
1.6,0.78333,0.61667,111,21,22,0.19048,0.45455,1622,1693,29,28,2.0345,2.1786,0.17241,0.39286,1698,1723,0.6,0.8,0.4,0.8,0.3,0.5,0.7,0.3,0.8,0.5,0.5,0.6
1.2,1,1,294,10,10,1,1,2070,1878,40,40,4.575,5.675,0.675,0.725,2416,2515,0,1,1,1,1,1,0,1,1,1,1,1
3,0.016667,0.5,329,38,26,1,0.92308,1997,1987,12,24,2.8333,4.6667,0.66667,0.66667,4156,3211,0,0,0.1,0.4,0.7,0.4,0,0,0.4,1,1,0.8
1,1,0.98333,287,10,10,1,0.9,1996,2700,40,40,4.35,4.375,0.7,0.675,4062,3754,0,1,1,1,1,1,0,1,1,1,1,1
1.48,1,0.98333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.92,0.18333,0.91667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.24,1,1,300,19,20,0.94737,0.95,2023,2542,31,30,2.5484,4.1667,0.67742,0.73333,3083,3276,0,0.1,1,1,1,1,0,0.1,0.9,1,1,0.96667
1,0.25,0.75,341,41,21,0.95122,1,2189,2201,9,29,4,4.2069,0.66667,0.72414,3965,3570,0.2,0,0,0.3,0.4,0.23333,0.1,0.1,0.7,1,1,0.9
1.36,0.95,0.033333,335,22,38,1,0.97368,1769,1780,28,12,4.8214,4.5833,0.75,0.66667,4070,2408,0,0,0.8,1,1,0.93333,0,0,0.1,0.6,0.5,0.4
1.12,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.04,0,0.033333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.32,1,0.98333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.96,0,0,347,49,50,0.89796,0.84,2014,1967,1,0,4,NaN,0,NaN,2834,NaN,0.1,0,0,0,0,0,0,0,0,0,0,0
3.88,0.26667,0.28333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.04,0.16667,0.41667,316,46,31,0.95652,0.80645,2125,2318,4,19,2.5,2.4211,0.75,0.52632,3623,2600,0,0.2,0,0.2,0,0.066667,0.4,0.1,0.3,0.6,0.5,0.46667
2.52,1,0.71667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.88,0.93333,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
